0,name,Qfit,t0,err_t0,x0,err_x0,x1,err_x1,c,err_c
0,m020209mh,True,20.204583316842577,2.649738192417317e-06,1.2376156947268468,9.915007987940724e-05,0.37645447110128494,0.00010490291524378748,0.7730244029177524,6.157657847183362e-05
0,m020205mh,True,20.233584179293246,2.174661389631183e-06,2.216322598229882,0.00016086447436385916,-0.03159130542914035,6.495204937495558e-05,0.43574043946139707,6.039489009213028e-05
0,m010309mh,True,20.21158714858755,3.8935181070343106e-06,0.3492635936958769,2.3230083056776605e-05,2.7704815012259747,0.00037556331274357646,0.9999999999996336,1.7301806432001854e-08
0,m050203mh,True,20.243459973563105,2.1979468005639546e-06,5.137732446408634,0.0003825474635983837,0.11115394184430993,7.107190547639419e-05,0.3736290324681497,5.742792901686222e-05
0,m010305mh,True,20.235182555034676,2.2453850370141026e-06,0.6308114997476345,4.757718381495316e-05,1.3446374823214038,0.00020978482915134933,0.7815154493152923,5.961541129384518e-05
0,m030307mh,True,20.230165208182044,3.380852399814671e-06,1.5621152790511141,0.00012313379905216546,1.0513270712769671,0.00015640994833931998,0.802439076278461,5.61033000634481e-05
0,m060201mh,True,20.253569738525673,1.8344464205455324e-06,6.69527505295071,0.0005122516558017067,0.31821090814784814,9.739089738536322e-05,0.27001552143799223,6.017605802066672e-05
0,m070201mh,True,20.315230320353113,5.138244009827986e-06,6.353151491488442,0.0004664186734392477,1.572592372184511,0.00021108230594801825,0.32584755582741054,5.353515429717959e-05
0,m050205mh,True,20.24339327071565,2.991317822775841e-06,4.14668880718207,0.00031825299538271016,0.29887624442810345,9.335601071258637e-05,0.49808242601570707,5.9283866756909553e-05
0,m040301mh,True,20.25280368900819,2.1171795481222944e-06,4.504405021736026,0.00034372218989313233,0.16603226743726118,8.20883077876644e-05,0.3366446412430988,6.036428681222006e-05
0,m020305mh,True,20.23651279099134,2.6975419817887314e-06,1.3586908289598154,0.00010268044063476572,0.9445429031637662,0.00015546405527810947,0.6764342305360627,5.8433605109708964e-05
0,m070203mh,True,20.30465161482274,5.381627801170907e-06,5.2730290071271755,0.0003810546612356449,1.9188361770438256,0.00025975507587006064,0.38562183144860773,5.5006428847370614e-05
0,m060203mh,True,20.254907051452204,2.512757978578861e-06,5.440448356698791,0.00039561456185811686,0.5053523311496289,0.0001070914864071959,0.38337569039985686,5.58795016916136e-05
0,m040303mh,True,20.244272311931446,2.265598057604734e-06,3.279814157434152,0.00024365532441454014,0.6430630642404616,0.00012440235559063595,0.5090257810964225,5.814410988125296e-05
0,m010209mh,True,20.20640357093522,3.0454383157518805e-06,0.3951305736963391,2.276850496509307e-05,1.0082074438333066,0.00017693760811576809,0.999999999999976,7.076794006355414e-07
0,m060205mh,True,20.24422338107196,2.959727645190924e-06,4.505976266089935,0.000326403466612717,0.7972822580900951,0.00013562613249629152,0.47319512109932926,5.450705741960604e-05
0,m070301mh,True,20.320001858213004,5.2632225919779785e-06,4.87575987765997,0.00034660861400654666,2.474732910942553,0.00038183140772751756,0.35751234035869617,6.29438585726394e-05
0,m020303mh,True,20.243039938704747,1.8856879169248941e-06,2.077781867172784,0.0001522564746491702,0.21380656473439874,8.666300310489206e-05,0.46769454986751935,5.896200916311045e-05
0,m020207mh,True,20.233816908444233,3.250494570394835e-06,1.55991340453021,0.00012205535179909856,0.2872457843329368,9.60379645769116e-05,0.665017877364305,6.107784405684491e-05
0,m040305mh,True,20.245661308942026,3.69166320446368e-06,2.5597145565051873,0.00019499989549015632,0.7806764373529473,0.00013213613706675176,0.6558474888998655,5.6125733888356955e-05
0,m050201mh,True,20.251259725618837,2.110812046041133e-06,6.671484151678666,0.0005163337852251716,-0.11239155464737571,5.605198574709647e-05,0.18966532125179603,6.293971898430062e-05
0,m080103mh,True,20.32124919888246,6.720554294403769e-06,7.369248808632486,0.0005390218186516447,1.4470168118371562,0.00020973201654062024,0.29781286037774146,5.429945443657935e-05
0,m010307mh,True,20.230527256736483,3.217249549436474e-06,0.4224436146920888,3.4976846070086555e-05,2.229039714133978,0.0003153368222030828,0.9577616720214248,6.324597339113502e-05
